DATE,DCOILWTICO,week
1/3/17,52.36,1
1/9/17,51.95,2
1/17/17,52.45,3
1/23/17,52.77,4
1/30/17,52.63,5
2/6/17,53.01,6
2/13/17,52.96,7
2/21/17,54.02,8
2/27/17,54.04,9
3/6/17,53.19,10
3/13/17,47.95,11
3/20/17,47.79,12
3/27/17,47.02,13
3/31/17,50.54,13
4/7/17,52.25,14
4/13/17,53.19,15
4/21/17,49.64,16
4/28/17,49.31,17
5/5/17,46.23,18
5/15/17,48.86,20
5/22/17,50.81,21
5/26/17,49.58,21
6/2/17,47.68,22
6/9/17,45.82,23
6/16/17,44.73,24
6/23/17,42.86,25
6/30/17,46.02,26
7/7/17,44.25,27
7/14/17,46.53,28
7/21/17,45.78,29
7/28/17,49.72,30
8/4/17,49.57,31
8/11/17,48.81,32
8/18/17,48.59,33
8/25/17,47.65,34
9/1/17,47.32,35
9/8/17,47.44,36
9/15/17,49.9,37
9/22/17,50.33,38
9/29/17,51.67,39
10/6/17,49.34,40
10/13/17,51.43,41
10/20/17,51.63,42
10/27/17,53.92,43
11/6/17,57.34,45
11/13/17,56.77,46
11/20/17,56.21,47
11/27/17,58.1,48
