Date,Period,Open,High,Low,Close,Adj Close,Volume
1/1/2017,1,963.380005,1150.630005,806.659973,888.869995,888.869995,870316976
1/8/2017,2,888.869995,936.130005,739.549988,819.630005,819.630005,538236894
1/15/2017,3,819.630005,928.929993,808.630005,919.840027,919.840027,305189873
1/22/2017,4,919.840027,938.380005,883.630005,918.51001,918.51001,234369803
1/29/2017,5,918.51001,1041.040039,911.51001,1031.849976,1031.849976,277195041
2/5/2017,6,1031.849976,1073.030029,924.650024,1008.320007,1008.320007,409135898
2/12/2017,7,1008.320007,1063.209961,975.099976,1052.280029,1052.280029,224776336
2/19/2017,8,1052.280029,1211.73999,1037.670044,1149.050049,1149.050049,424037630
2/26/2017,9,1149.050049,1291.349976,1130.609985,1264.319946,1264.319946,432637088
3/5/2017,10,1264.319946,1330.420044,988.690002,1179.219971,1179.219971,673363231
3/12/2017,11,1179.219971,1260.23999,940.179993,971.380005,971.380005,794424223
3/19/2017,12,971.380005,1125.530029,890.429993,966.299988,966.299988,701079930
3/26/2017,13,966.299988,1103.73999,946.650024,1086.119995,1086.119995,559615171
4/1/2017,14,1086.119995,1201.550049,1074.209961,1180.780029,1180.780029,567984053
4/8/2017,15,1180.780029,1229.569946,841.530029,1176.98999,1176.98999,371698651
4/15/2017,16,1176.98999,1256.969971,1166.73999,1240.890015,1240.890015,374067689
4/22/2017,17,1240.890015,1356.150024,1223.060059,1336.280029,1336.280029,481653290
4/29/2017,18,1336.280029,1609.839966,1309.660034,1545.290039,1545.290039,919626179
5/6/2017,19,1545.290039,1864.76001,1495.180054,1763.73999,1763.73999,1181148118
5/13/2017,20,1763.73999,2048.449951,1653.719971,2040.180054,2040.180054,1019479639
5/20/2017,21,2040.180054,2781.76001,1868.560059,2052.429932,2052.429932,2649738162
5/27/2017,22,2052.429932,2582.77002,2051.070068,2545.429932,2545.429932,1669164271
6/3/2017,23,2545.429932,2931.23999,2478.179932,2900.25,2900.25,1950780471
6/10/2017,24,2900.25,2985.060059,2125.560059,2655.100098,2655.100098,2729039838
6/17/2017,25,2655.100098,2804.409912,2488.590088,2590.050049,2590.050049,1652510258
6/24/2017,26,2590.050049,2660.659912,2309.629883,2424.610107,2424.610107,1820174844
7/1/2017,27,2424.610107,2658.72998,2375.860107,2564.860107,2564.860107,1343474888
7/8/2017,28,2564.860107,2576.72998,1974.030029,1975.079956,1975.079956,1782924569
7/15/2017,29,1975.079956,2932.810059,1808.98999,2836.530029,2836.530029,3234078235
7/22/2017,30,2836.530029,2856.669922,2441.540039,2733.5,2733.5,2288326785
7/29/2017,31,2733.5,3344.01001,2621.679932,3262.800049,3262.800049,1929575883
8/5/2017,32,3262.800049,3967.26001,3166.52002,3871.620117,3871.620117,2237426528
8/12/2017,33,3871.620117,4487.5,3837.129883,4150.450195,4150.450195,4146500541
8/19/2017,34,4150.450195,4461.709961,3612.209961,4352.299805,4352.299805,2582426238
8/26/2017,35,4352.299805,4976.52002,4195.22998,4573.799805,4573.799805,2857236121
9/2/2017,36,4573.799805,4719.779785,4004.620117,4335.129883,4335.129883,3829870913
9/9/2017,37,4335.129883,4387.759766,2979.879883,3698.919922,3698.919922,5273258017
9/16/2017,38,3698.919922,4122.75,3485.830078,3788.02002,3788.02002,2981078485
9/23/2017,39,3788.02002,4383.27002,3633.879883,4360.620117,4360.620117,2381673869
9/30/2017,40,4360.620117,4477.379883,4143.350098,4435.810059,4435.810059,1920703089
10/7/2017,41,4435.810059,5852.779785,4419.359863,5824.709961,5824.709961,4150419233
10/14/2017,42,5824.709961,6187.200195,5114.870117,6006.649902,6006.649902,3827953826
10/21/2017,43,6006.649902,6070.560059,5375.640137,5726.609863,5726.609863,4159290336
10/28/2017,44,5726.609863,7492.240234,5679.370117,7363.799805,7363.799805,6513748502
11/5/2017,45,7363.799805,7869.100098,6197.870117,6339.859863,6339.859863,7594241231
11/12/2017,46,6339.870117,8000.189941,5493.640137,7780.910156,7780.910156,6820837677
11/19/2017,47,7781.02002,8761.980469,7675.410156,8754.69043,8754.69043,4506447668
11/26/2017,48,8754.620117,11417.83984,8746.55957,10912.73047,10912.73047,9232150515
12/3/2017,49,10912.71973,16879.25977,10578.42969,16850.31055,16850.31055,10433973700
