Date,USD (PM),Week
11/27/17,1294.9,48
11/20/17,1286.2,47
11/13/17,1277.95,46
11/6/17,1270.9,45
10/27/17,1266.45,44
10/20/17,1281.2,43
10/13/17,1299.6,42
10/6/17,1261.8,41
9/29/17,1283.1,40
9/22/17,1294.8,39
9/15/17,1322.85,38
9/8/17,1346.25,37
9/1/17,1320.4,36
8/25/17,1285.3,35
8/18/17,1295.8,34
8/11/17,1286.1,33
8/4/17,1257.7,32
7/28/17,1264.9,31
7/21/17,1248.55,30
7/14/17,1230.3,29
7/7/17,1215.65,28
6/30/17,1242.25,27
6/23/17,1255.7,26
6/16/17,1255.4,25
6/9/17,1266.55,24
6/2/17,1274.95,23
5/26/17,1265.05,22
5/19/17,1252,21
5/12/17,1231.25,20
5/5/17,1228.05,19
4/28/17,1266.45,18
4/21/17,1281.85,17
4/13/17,1284.15,16
4/7/17,1266.45,15
3/31/17,1244.85,14
3/30/17,1248.8,13
3/20/17,1232.4,12
3/13/17,1204.2,11
3/6/17,1230.95,10
2/27/17,1257.2,9
2/20/17,1237.3,8
2/13/17,1222.25,7
2/6/17,1226.75,6
1/30/17,1192.8,5
1/23/17,1212.85,4
1/16/17,1203,3
1/9/17,1178.5,2
1/3/17,1151,1
,,
