Date,Day,In Circulation
1/1/2017,1,16077350
1/2/2017,2,16079337.5
1/3/2017,3,16081387.5
1/4/2017,4,16083300
1/5/2017,5,16085050
1/6/2017,6,16087062.5
1/7/2017,7,16088787.5
1/8/2017,8,16090875
1/9/2017,9,16092575
1/10/2017,10,16094575
1/11/2017,11,16096487.5
1/12/2017,12,16098637.5
1/13/2017,13,16100512.5
1/14/2017,14,16102662.5
1/15/2017,15,16104750
1/16/2017,16,16106862.5
1/17/2017,17,16108837.5
1/18/2017,18,16110712.5
1/19/2017,19,16112887.5
1/20/2017,20,16115250
1/21/2017,21,16117512.5
1/22/2017,22,16119687.5
1/23/2017,23,16121412.5
1/24/2017,24,16123275
1/25/2017,25,16125137.5
1/26/2017,26,16127075
1/27/2017,27,16129200
1/28/2017,28,16131100
1/29/2017,29,16133187.5
1/30/2017,30,16134987.5
1/31/2017,31,16136800
2/1/2017,32,16139200
2/2/2017,33,16141162.5
2/3/2017,34,16143025
2/4/2017,35,16144825
2/5/2017,36,16146812.5
2/6/2017,37,16148375
2/7/2017,38,16150262.5
2/8/2017,39,16152087.5
2/9/2017,40,16154200
2/10/2017,41,16156037.5
2/11/2017,42,16157775
2/12/2017,43,16159525
2/13/2017,44,16161562.5
2/14/2017,45,16163675
2/15/2017,46,16165412.5
2/16/2017,47,16167300
2/17/2017,48,16169187.5
2/18/2017,49,16171075
2/19/2017,50,16172750
2/20/2017,51,16174600
2/21/2017,52,16176325
2/22/2017,53,16178050
2/23/2017,54,16179925
2/24/2017,55,16181962.5
2/25/2017,56,16184050
2/26/2017,57,16186275
2/27/2017,58,16188075
2/28/2017,59,16189987.5
3/1/2017,60,16191787.5
3/2/2017,61,16193750
3/3/2017,62,16195637.5
3/4/2017,63,16197287.5
3/5/2017,64,16199125
3/6/2017,65,16200900
3/7/2017,66,16202812.5
3/8/2017,67,16204587.5
3/9/2017,68,16206437.5
3/10/2017,69,16208387.5
3/11/2017,70,16210250
3/12/2017,71,16212187.5
3/13/2017,72,16214000
3/14/2017,73,16215950
3/15/2017,74,16217725
3/16/2017,75,16219637.5
3/17/2017,76,16221562.5
3/18/2017,77,16223525
3/19/2017,78,16225587.5
3/20/2017,79,16227287.5
3/21/2017,80,16229062.5
3/22/2017,81,16231050
3/23/2017,82,16232900
3/24/2017,83,16235100
3/25/2017,84,16236762.5
3/26/2017,85,16238837.5
3/27/2017,86,16240487.5
3/28/2017,87,16242425
3/29/2017,88,16244150
3/30/2017,89,16246200
3/31/2017,90,16247887.5
4/1/2017,91,16249537.5
4/2/2017,92,16251512.5
4/3/2017,93,16253712.5
4/4/2017,94,16255275
4/5/2017,95,16257300
4/6/2017,96,16259137.5
4/7/2017,97,16261162.5
4/8/2017,98,16262875
4/9/2017,99,16264862.5
4/10/2017,100,16266700
4/11/2017,101,16268787.5
4/12/2017,102,16270562.5
4/13/2017,103,16272150
4/14/2017,104,16273887.5
4/15/2017,105,16275762.5
4/16/2017,106,16277587.5
4/17/2017,107,16279312.5
4/18/2017,108,16281137.5
4/19/2017,109,16282925
4/20/2017,110,16284650
4/21/2017,111,16286737.5
4/22/2017,112,16288550
4/23/2017,113,16290462.5
4/24/2017,114,16292012.5
4/25/2017,115,16293862.5
4/26/2017,116,16295775
4/27/2017,117,16297612.5
4/28/2017,118,16299312.5
4/29/2017,119,16301475
4/30/2017,120,16303362.5
5/1/2017,121,16305237.5
5/2/2017,122,16307212.5
5/3/2017,123,16308862.5
5/4/2017,124,16310962.5
5/5/2017,125,16312575
5/6/2017,126,16314675
5/7/2017,127,16316762.5
5/8/2017,128,16319012.5
5/9/2017,129,16320950
5/10/2017,130,16322800
5/11/2017,131,16324487.5
5/12/2017,132,16326412.5
5/13/2017,133,16328387.5
5/14/2017,134,16330437.5
5/15/2017,135,16332562.5
5/16/2017,136,16334212.5
5/17/2017,137,16336150
5/18/2017,138,16337925
5/19/2017,139,16339975
5/20/2017,140,16342037.5
5/21/2017,141,16343875
5/22/2017,142,16345700
5/23/2017,143,16347800
5/24/2017,144,16349725
5/25/2017,145,16351762.5
5/26/2017,146,16353675
5/27/2017,147,16355775
5/28/2017,148,16357837.5
5/29/2017,149,16359725
5/30/2017,150,16361962.5
5/31/2017,151,16364012.5
6/1/2017,152,16366137.5
6/2/2017,153,16367962.5
6/3/2017,154,16370362.5
6/4/2017,155,16372375
6/5/2017,156,16374425
6/6/2017,157,16376312.5
6/7/2017,158,16378375
6/8/2017,159,16380437.5
6/9/2017,160,16382325
6/10/2017,161,16384087.5
6/11/2017,162,16385912.5
6/12/2017,163,16387750
6/13/2017,164,16389512.5
6/14/2017,165,16391262.5
6/15/2017,166,16393175
6/16/2017,167,16395025
6/17/2017,168,16396837.5
6/18/2017,169,16398650
6/19/2017,170,16400537.5
6/20/2017,171,16402262.5
6/21/2017,172,16404012.5
6/22/2017,173,16405750
6/23/2017,174,16407750
6/24/2017,175,16409575
6/25/2017,176,16411100
6/26/2017,177,16412875
6/27/2017,178,16414512.5
6/28/2017,179,16416475
6/29/2017,180,16417975
6/30/2017,181,16419900
