Date,In Circulation
12/9/2016 0:00,16033962.50
12/10/2016 0:00,16035612.50
12/11/2016 0:00,16037950.00
12/12/2016 0:00,16039900.00
12/13/2016 0:00,16042125.00
12/14/2016 0:00,16043862.50
12/15/2016 0:00,16045450.00
12/16/2016 0:00,16047112.50
12/17/2016 0:00,16048912.50
12/18/2016 0:00,16050675.00
12/19/2016 0:00,16052562.50
12/20/2016 0:00,16054287.50
12/21/2016 0:00,16056275.00
12/22/2016 0:00,16058262.50
12/23/2016 0:00,16060162.50
12/24/2016 0:00,16061875.00
12/25/2016 0:00,16063937.50
12/26/2016 0:00,16065712.50
12/27/2016 0:00,16067662.50
12/28/2016 0:00,16069712.50
12/29/2016 0:00,16071587.50
12/30/2016 0:00,16073550.00
12/31/2016 0:00,16075400.00
1/1/2017 0:00,16077350.00
1/2/2017 0:00,16079337.50
1/3/2017 0:00,16081387.50
1/4/2017 0:00,16083300.00
1/5/2017 0:00,16085050.00
1/6/2017 0:00,16087062.50
1/7/2017 0:00,16088787.50
1/8/2017 0:00,16090875.00
1/9/2017 0:00,16092575.00
1/10/2017 0:00,16094575.00
1/11/2017 0:00,16096487.50
1/12/2017 0:00,16098637.50
1/13/2017 0:00,16100512.50
1/14/2017 0:00,16102662.50
1/15/2017 0:00,16104750.00
1/16/2017 0:00,16106862.50
1/17/2017 0:00,16108837.50
1/18/2017 0:00,16110712.50
1/19/2017 0:00,16112887.50
1/20/2017 0:00,16115250.00
1/21/2017 0:00,16117512.50
1/22/2017 0:00,16119687.50
1/23/2017 0:00,16121412.50
1/24/2017 0:00,16123275.00
1/25/2017 0:00,16125137.50
1/26/2017 0:00,16127075.00
1/27/2017 0:00,16129200.00
1/28/2017 0:00,16131100.00
1/29/2017 0:00,16133187.50
1/30/2017 0:00,16134987.50
1/31/2017 0:00,16136800.00
2/1/2017 0:00,16139200.00
2/2/2017 0:00,16141162.50
2/3/2017 0:00,16143025.00
2/4/2017 0:00,16144825.00
2/5/2017 0:00,16146812.50
2/6/2017 0:00,16148375.00
2/7/2017 0:00,16150262.50
2/8/2017 0:00,16152087.50
2/9/2017 0:00,16154200.00
2/10/2017 0:00,16156037.50
2/11/2017 0:00,16157775.00
2/12/2017 0:00,16159525.00
2/13/2017 0:00,16161562.50
2/14/2017 0:00,16163675.00
2/15/2017 0:00,16165412.50
2/16/2017 0:00,16167300.00
2/17/2017 0:00,16169187.50
2/18/2017 0:00,16171075.00
2/19/2017 0:00,16172750.00
2/20/2017 0:00,16174600.00
2/21/2017 0:00,16176325.00
2/22/2017 0:00,16178050.00
2/23/2017 0:00,16179925.00
2/24/2017 0:00,16181962.50
2/25/2017 0:00,16184050.00
2/26/2017 0:00,16186275.00
2/27/2017 0:00,16188075.00
2/28/2017 0:00,16189987.50
3/1/2017 0:00,16191787.50
3/2/2017 0:00,16193750.00
3/3/2017 0:00,16195637.50
3/4/2017 0:00,16197287.50
3/5/2017 0:00,16199125.00
3/6/2017 0:00,16200900.00
3/7/2017 0:00,16202812.50
3/8/2017 0:00,16204587.50
3/9/2017 0:00,16206437.50
3/10/2017 0:00,16208387.50
3/11/2017 0:00,16210250.00
3/12/2017 0:00,16212187.50
3/13/2017 0:00,16214000.00
3/14/2017 0:00,16215950.00
3/15/2017 0:00,16217725.00
3/16/2017 0:00,16219637.50
3/17/2017 0:00,16221562.50
3/18/2017 0:00,16223525.00
3/19/2017 0:00,16225587.50
3/20/2017 0:00,16227287.50
3/21/2017 0:00,16229062.50
3/22/2017 0:00,16231050.00
3/23/2017 0:00,16232900.00
3/24/2017 0:00,16235100.00
3/25/2017 0:00,16236762.50
3/26/2017 0:00,16238837.50
3/27/2017 0:00,16240487.50
3/28/2017 0:00,16242425.00
3/29/2017 0:00,16244150.00
3/30/2017 0:00,16246200.00
3/31/2017 0:00,16247887.50
4/1/2017 0:00,16249537.50
4/2/2017 0:00,16251512.50
4/3/2017 0:00,16253712.50
4/4/2017 0:00,16255275.00
4/5/2017 0:00,16257300.00
4/6/2017 0:00,16259137.50
4/7/2017 0:00,16261162.50
4/8/2017 0:00,16262875.00
4/9/2017 0:00,16264862.50
4/10/2017 0:00,16266700.00
4/11/2017 0:00,16268787.50
4/12/2017 0:00,16270562.50
4/13/2017 0:00,16272150.00
4/14/2017 0:00,16273887.50
4/15/2017 0:00,16275762.50
4/16/2017 0:00,16277587.50
4/17/2017 0:00,16279312.50
4/18/2017 0:00,16281137.50
4/19/2017 0:00,16282925.00
4/20/2017 0:00,16284650.00
4/21/2017 0:00,16286737.50
4/22/2017 0:00,16288550.00
4/23/2017 0:00,16290462.50
4/24/2017 0:00,16292012.50
4/25/2017 0:00,16293862.50
4/26/2017 0:00,16295775.00
4/27/2017 0:00,16297612.50
4/28/2017 0:00,16299312.50
4/29/2017 0:00,16301475.00
4/30/2017 0:00,16303362.50
5/1/2017 0:00,16305237.50
5/2/2017 0:00,16307212.50
5/3/2017 0:00,16308862.50
5/4/2017 0:00,16310962.50
5/5/2017 0:00,16312575.00
5/6/2017 0:00,16314675.00
5/7/2017 0:00,16316762.50
5/8/2017 0:00,16319012.50
5/9/2017 0:00,16320950.00
5/10/2017 0:00,16322800.00
5/11/2017 0:00,16324487.50
5/12/2017 0:00,16326412.50
5/13/2017 0:00,16328387.50
5/14/2017 0:00,16330437.50
5/15/2017 0:00,16332562.50
5/16/2017 0:00,16334212.50
5/17/2017 0:00,16336150.00
5/18/2017 0:00,16337925.00
5/19/2017 0:00,16339975.00
5/20/2017 0:00,16342037.50
5/21/2017 0:00,16343875.00
5/22/2017 0:00,16345700.00
5/23/2017 0:00,16347800.00
5/24/2017 0:00,16349725.00
5/25/2017 0:00,16351762.50
5/26/2017 0:00,16353675.00
5/27/2017 0:00,16355775.00
5/28/2017 0:00,16357837.50
5/29/2017 0:00,16359725.00
5/30/2017 0:00,16361962.50
5/31/2017 0:00,16364012.50
6/1/2017 0:00,16366137.50
6/2/2017 0:00,16367962.50
6/3/2017 0:00,16370362.50
6/4/2017 0:00,16372375.00
6/5/2017 0:00,16374425.00
6/6/2017 0:00,16376312.50
6/7/2017 0:00,16378375.00
6/8/2017 0:00,16380437.50
6/9/2017 0:00,16382325.00
6/10/2017 0:00,16384087.50
6/11/2017 0:00,16385912.50
6/12/2017 0:00,16387750.00
6/13/2017 0:00,16389512.50
6/14/2017 0:00,16391262.50
6/15/2017 0:00,16393175.00
6/16/2017 0:00,16395025.00
6/17/2017 0:00,16396837.50
6/18/2017 0:00,16398650.00
6/19/2017 0:00,16400537.50
6/20/2017 0:00,16402262.50
6/21/2017 0:00,16404012.50
6/22/2017 0:00,16405750.00
6/23/2017 0:00,16407750.00
6/24/2017 0:00,16409575.00
6/25/2017 0:00,16411100.00
6/26/2017 0:00,16412875.00
6/27/2017 0:00,16414512.50
6/28/2017 0:00,16416475.00
6/29/2017 0:00,16417975.00
6/30/2017 0:00,16419900.00
7/1/2017 0:00,16421950.00
7/2/2017 0:00,16424300.00
7/3/2017 0:00,16426425.00
7/4/2017 0:00,16428337.50
7/5/2017 0:00,16430200.00
7/6/2017 0:00,16431975.00
7/7/2017 0:00,16433825.00
7/8/2017 0:00,16435887.50
7/9/2017 0:00,16437612.50
7/10/2017 0:00,16440075.00
7/11/2017 0:00,16442237.50
7/12/2017 0:00,16444450.00
7/13/2017 0:00,16446412.50
7/14/2017 0:00,16448150.00
7/15/2017 0:00,16449737.50
7/16/2017 0:00,16451775.00
7/17/2017 0:00,16453625.00
7/18/2017 0:00,16455687.50
7/19/2017 0:00,16457550.00
7/20/2017 0:00,16459575.00
7/21/2017 0:00,16461500.00
7/22/2017 0:00,16463500.00
7/23/2017 0:00,16465650.00
7/24/2017 0:00,16467875.00
7/25/2017 0:00,16469725.00
7/26/2017 0:00,16471562.50
7/27/2017 0:00,16473487.50
7/28/2017 0:00,16475362.50
7/29/2017 0:00,16477325.00
7/30/2017 0:00,16479162.50
7/31/2017 0:00,16480975.00
8/1/2017 0:00,16482837.50
8/2/2017 0:00,16484737.50
8/3/2017 0:00,16486462.50
8/4/2017 0:00,16488700.00
8/5/2017 0:00,16490912.50
8/6/2017 0:00,16492662.50
