week,Date,Open,High,Low,Close,Adj Close,Volume,Changes
1,1/1/17,963.380005,1150.630005,806.659973,888.869995,888.869995,870316976,1
2,1/8/17,888.869995,936.130005,739.549988,819.630005,819.630005,538236894,-0.077896644
3,1/15/17,819.630005,928.929993,808.630005,919.840027,919.840027,305189873,0.12226251
4,1/22/17,919.840027,938.380005,883.630005,918.51001,918.51001,234369803,-0.001445922
5,1/29/17,918.51001,1041.040039,911.51001,1031.849976,1031.849976,277195041,0.123395461
6,2/5/17,1031.849976,1073.030029,924.650024,1008.320007,1008.320007,409135898,-0.022803673
7,2/12/17,1008.320007,1063.209961,975.099976,1052.280029,1052.280029,224776336,0.043597292
8,2/19/17,1052.280029,1211.73999,1037.670044,1149.050049,1149.050049,424037630,0.091962232
9,2/26/17,1149.050049,1291.349976,1130.609985,1264.319946,1264.319946,432637088,0.10031756
10,3/5/17,1264.319946,1330.420044,988.690002,1179.219971,1179.219971,673363231,-0.067308892
11,3/12/17,1179.219971,1260.23999,940.179993,971.380005,971.380005,794424223,-0.176252074
12,3/19/17,971.380005,1125.530029,890.429993,966.299988,966.299988,701079930,-0.005229691
13,3/26/17,966.299988,1103.73999,946.650024,1086.119995,1086.119995,559615171,0.123998767
14,4/1/17,1086.119995,1201.550049,1074.209961,1180.780029,1180.780029,567984053,0.087154306
15,4/8/17,1180.780029,1229.569946,841.530029,1176.98999,1176.98999,371698651,-0.003209776
16,4/15/17,1176.98999,1256.969971,1166.73999,1240.890015,1240.890015,374067689,0.054291052
17,4/22/17,1240.890015,1356.150024,1223.060059,1336.280029,1336.280029,481653290,0.076872255
18,4/29/17,1336.280029,1609.839966,1309.660034,1545.290039,1545.290039,919626179,0.156411834
19,5/6/17,1545.290039,1864.76001,1495.180054,1763.73999,1763.73999,1181148118,0.141365016
20,5/13/17,1763.73999,2048.449951,1653.719971,2040.180054,2040.180054,1019479639,0.156735157
21,5/20/17,2040.180054,2781.76001,1868.560059,2052.429932,2052.429932,2649738162,0.006004312
22,5/27/17,2052.429932,2582.77002,2051.070068,2545.429932,2545.429932,1669164271,0.240203084
23,6/3/17,2545.429932,2931.23999,2478.179932,2900.25,2900.25,1950780471,0.139394946
24,6/10/17,2900.25,2985.060059,2125.560059,2655.100098,2655.100098,2729039838,-0.084527162
25,6/17/17,2655.100098,2804.409912,2488.590088,2590.050049,2590.050049,1652510258,-0.024500036
26,6/24/17,2590.050049,2660.659912,2309.629883,2424.610107,2424.610107,1820174844,-0.063875191
27,7/1/17,2424.610107,2658.72998,2375.860107,2564.860107,2564.860107,1343474888,0.057844352
28,7/8/17,2564.860107,2576.72998,1974.030029,1975.079956,1975.079956,1782924569,-0.229946323
29,7/15/17,1975.079956,2932.810059,1808.98999,2836.530029,2836.530029,3234078235,0.436159595
30,7/22/17,2836.530029,2856.669922,2441.540039,2733.5,2733.5,2288326785,-0.036322559
31,7/29/17,2733.5,3344.01001,2621.679932,3262.800049,3262.800049,1929575883,0.193634552
32,8/5/17,3262.800049,3967.26001,3166.52002,3871.620117,3871.620117,2237426528,0.186594354
33,8/12/17,3871.620117,4487.5,3837.129883,4150.450195,4150.450195,4146500541,0.072018966
34,8/19/17,4150.450195,4461.709961,3612.209961,4352.299805,4352.299805,2582426238,0.048633184
35,8/26/17,4352.299805,4976.52002,4195.22998,4573.799805,4573.799805,2857236121,0.050892634
36,9/2/17,4573.799805,4719.779785,4004.620117,4335.129883,4335.129883,3829870913,-0.052181978
37,9/9/17,4335.129883,4387.759766,2979.879883,3698.919922,3698.919922,5273258017,-0.14675684
38,9/16/17,3698.919922,4122.75,3485.830078,3788.02002,3788.02002,2981078485,0.024088139
39,9/23/17,3788.02002,4383.27002,3633.879883,4360.620117,4360.620117,2381673869,0.15116079
40,9/30/17,4360.620117,4477.379883,4143.350098,4435.810059,4435.810059,1920703089,0.017242947
41,10/7/17,4435.810059,5852.779785,4419.359863,5824.709961,5824.709961,4150419233,0.31311077
42,10/14/17,5824.709961,6187.200195,5114.870117,6006.649902,6006.649902,3827953826,0.03123588
43,10/21/17,6006.649902,6070.560059,5375.640137,5726.609863,5726.609863,4159290336,-0.046621668
44,10/28/17,5726.609863,7492.240234,5679.370117,7363.799805,7363.799805,6513748502,0.28589165
45,11/5/17,7363.799805,7869.100098,6197.870117,6339.859863,6339.859863,7594241231,-0.139050486
46,11/12/17,6339.870117,8000.189941,5493.640137,7780.910156,7780.910156,6820837677,0.227300023
47,11/19/17,7781.02002,8761.980469,7675.410156,8754.69043,8754.69043,4506447668,0.125149919
48,11/26/17,8754.620117,11417.83984,8746.55957,10912.73047,10912.73047,9232150515,0.246501011
49,12/3/17,10912.71973,17294.84961,10578.42969,14843.41992,14843.41992,17679864646,0.36019303
50,12/10/17,14839.98047,17560.65039,13031,17083.90039,17083.90039,7784444348,0.150940988
